"year"|"categ"|"year.1"
"1972 (45th)"|"HONORARY AWARD"|"To Edward G. Robinson who achieved greatness as a player, a patron of the arts and a dedicated citizen...in sum, a Renaissance man. From his friends in the industry he loves."
"1972 (45th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To JOSEPH E. BLUTH for research and development in the field of electronic photography and transfer of video tape to motion picture film. [Laboratory]"
"1972 (45th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To EDWARD H. REICHARD and HOWARD T. LA ZARE of Consolidated Film Industries, and EDWARD EFRON of IBM for the engineering of a computerized light valve monitoring system for motion picture printing. [Laboratory]"
"1972 (45th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To PANAVISION, INCORPORATED, for the development and engineering of the Panaflex motion picture camera. [Camera]"
"1972 (45th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To PHOTO RESEARCH, A DIVISION OF KOLLMORGEN CORPORATION, and PSC TECHNOLOGY INC., ACME PRODUCTS DIVISION, for the Spectra Film Gate Photometer for motion picture printers. [Laboratory]"
"1972 (45th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To CARTER EQUIPMENT COMPANY, INC. and RAMTRONICS for the RAMtronics light-valve photometer for motion picture printers. [Laboratory]"
"1972 (45th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To DAVID DEGENKOLB, HARRY LARSON, MANFRED MICHELSON and FRED SCOBEY of DeLuxe General Incorporated for the development of a computerized motion picture printer and process control system. [Laboratory]"
"1972 (45th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To JIRO MUKAI and RYUSHO HIROSE of Canon, Inc., and WILTON R. HOLM of the AMPTP Motion Picture and Television Research Center for development of the Canon Macro Zoom Lens for motion picture photography. [Lenses and Filters]"
"1972 (45th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To PHILIP V. PALMQUIST and LEONARD L. OLSON of the 3M Company, and FRANK P. CLARK of the AMPTP Motion Picture and Television Research Center for development of the Nextel simulated blood for motion picture color photography. [Props]"
"1972 (45th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To E. H. GEISSLER and G. M. BERGGREN of Wil-Kin Inc., for engineering of the Ultra-Vision Motion Picture Theater Projection System. [Projection]"
"1973 (46th)"|"ACTOR"|"Jack Lemmon -- Save the Tiger  {\"Harry Stoner\"}"
"1973 (46th)"|"ACTOR IN A SUPPORTING ROLE"|"John Houseman -- The Paper Chase  {\"Professor Kingsfield\"}"
"1973 (46th)"|"ACTRESS"|"Glenda Jackson -- A Touch of Class  {\"Vicki Allessio\"}"
"1973 (46th)"|"ACTRESS IN A SUPPORTING ROLE"|"Tatum O'Neal -- Paper Moon  {\"Addie Loggins\"}"
"1973 (46th)"|"ART DIRECTION"|"The Sting  -- Art Direction: Henry Bumstead; Set Decoration: James Payne"
"1973 (46th)"|"CINEMATOGRAPHY"|"Cries and Whispers  -- Sven Nykvist"
"1973 (46th)"|"COSTUME DESIGN"|"The Sting  -- Edith Head"
"1973 (46th)"|"DIRECTING"|"The Sting  -- George Roy Hill"
"1973 (46th)"|"DOCUMENTARY (Feature)"|"The Great American Cowboy  -- Kieth Merrill, Producer"
"1973 (46th)"|"DOCUMENTARY (Short Subject)"|"Princeton: A Search for Answers  -- Julian Krainin and DeWitt L. Sage, Jr., Producers"
"1973 (46th)"|"FILM EDITING"|"The Sting  -- William Reynolds"
"1973 (46th)"|"FOREIGN LANGUAGE FILM"|"Day for Night  -- France"
"1973 (46th)"|"MUSIC (Original Dramatic Score)"|"The Way We Were --  Marvin Hamlisch"
"1973 (46th)"|"MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation)"|"The Sting --  Adaptation Score by Marvin Hamlisch"
"1973 (46th)"|"MUSIC (Song)"|"\"The Way We Were\" from The Way We Were  -- Music by Marvin Hamlisch; Lyrics by Alan Bergman and Marilyn Bergman"
"1973 (46th)"|"BEST PICTURE"|"The Sting  -- Tony Bill, Michael Phillips and Julia Phillips, Producers"
"1973 (46th)"|"SHORT SUBJECT (Animated)"|"Frank Film --  Frank Mouris, Producer"
"1973 (46th)"|"SHORT SUBJECT (Live Action)"|"The Bolero --  Allan Miller and William Fertik, Producers"
"1973 (46th)"|"SOUND"|"The Exorcist --  Robert Knudson, Chris Newman"
"1973 (46th)"|"WRITING (Screenplay--based on material from another medium)"|"The Exorcist  -- William Peter Blatty"
"1973 (46th)"|"WRITING (Story and Screenplay--based on factual material or material not previously published or produced)"|"The Sting  -- David S. Ward"
"1973 (46th)"|"JEAN HERSHOLT HUMANITARIAN AWARD"|"Lew Wasserman"
"1973 (46th)"|"HONORARY AWARD"|"To Henri Langlois for his devotion to the art of film, his massive contributions in preserving its past and his unswerving faith in its future."
"1973 (46th)"|"HONORARY AWARD"|"To Groucho Marx in recognition of his brilliant creativity and for the unequalled achievements of the Marx Brothers in the art of motion picture comedy."
"1973 (46th)"|"IRVING G. THALBERG MEMORIAL AWARD"|"Lawrence Weingarten"
"1973 (46th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To JOACHIM GERB and ERICH KASTNER of The Arnold and Richter Company for the development and engineering of the Arriflex 35BL motion picture camera. [Camera]"
"1973 (46th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To MAGNA-TECH ELECTRONIC CO., INC. for the engineering and development of a high-speed re-recording system for motion picture production. [Sound]"
"1973 (46th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To WILLIAM W. VALLIANT of PSC Technology Inc., HOWARD F. OTT of Eastman Kodak Company, and GERRY DIEBOLD of The Richmark Camera Service Inc. for the development of a liquid-gate system for motion-picture printers. [Laboratory]"
"1973 (46th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To HAROLD A. SCHEIB, CLIFFORD H. ELLIS and ROGER W. BANKS of Research Products Incorporated for the concept and engineering of the Model 2101 optical printer for motion picture optical effects. [Laboratory]"
"1973 (46th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To ROSCO LABORATORIES, INC. for the technical advances and the development of a complete system of light-control materials for motion picture photography. [Lenses and Filters]"
"1973 (46th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To RICHARD H. VETTER of Todd-AO Corporation for the design of an improved anamorphic focusing system for motion picture photography. [Lenses and Filters]"
"1974 (47th)"|"ACTOR"|"Art Carney -- Harry and Tonto  {\"Harry\"}"
"1974 (47th)"|"ACTOR IN A SUPPORTING ROLE"|"Robert De Niro -- The Godfather Part II  {\"Vito Corleone\"}"
"1974 (47th)"|"ACTRESS"|"Ellen Burstyn -- Alice Doesn't Live Here Anymore  {\"Alice Hyatt\"}"
"1974 (47th)"|"ACTRESS IN A SUPPORTING ROLE"|"Ingrid Bergman -- Murder on the Orient Express  {\"Greta Ohlsson\"}"
"1974 (47th)"|"ART DIRECTION"|"The Godfather Part II  -- Art Direction: Dean Tavoularis, Angelo Graham; Set Decoration: George R. Nelson"
"1974 (47th)"|"CINEMATOGRAPHY"|"The Towering Inferno  -- Fred Koenekamp, Joseph Biroc"
"1974 (47th)"|"COSTUME DESIGN"|"The Great Gatsby  -- Theoni V. Aldredge"
"1974 (47th)"|"DIRECTING"|"The Godfather Part II  -- Francis Ford Coppola"
"1974 (47th)"|"DOCUMENTARY (Feature)"|"Hearts and Minds  -- Peter Davis and Bert Schneider, Producers"
"1974 (47th)"|"DOCUMENTARY (Short Subject)"|"Don't  -- Robin Lehman, Producer"
"1974 (47th)"|"FILM EDITING"|"The Towering Inferno  -- Harold F. Kress, Carl Kress"
"1974 (47th)"|"FOREIGN LANGUAGE FILM"|"Amarcord  -- Italy"
"1974 (47th)"|"MUSIC (Original Dramatic Score)"|"The Godfather Part II --  Nino Rota, Carmine Coppola"
"1974 (47th)"|"MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation)"|"The Great Gatsby --  Adaptation Score by Nelson Riddle"
"1974 (47th)"|"MUSIC (Song)"|"\"We May Never Love Like This Again\" from The Towering Inferno  -- Music and Lyrics by Al Kasha and Joel Hirschhorn"
"1974 (47th)"|"BEST PICTURE"|"The Godfather Part II  -- Francis Ford Coppola, Producer; Gray Frederickson and Fred Roos, Co-Producers"
"1974 (47th)"|"SHORT FILM (Animated)"|"Closed Mondays --  Will Vinton and Bob Gardiner, Producers"
"1974 (47th)"|"SHORT FILM (Live Action)"|"One-Eyed Men Are Kings --  Paul Claudon and Edmond Sechan, Producers"
"1974 (47th)"|"SOUND"|"Earthquake --  Ronald Pierce, Melvin Metcalfe, Sr."
"1974 (47th)"|"WRITING (Original Screenplay)"|"Chinatown  -- Robert Towne"
"1974 (47th)"|"WRITING (Screenplay Adapted from Other Material)"|"The Godfather Part II  -- Francis Ford Coppola, Mario Puzo"
"1974 (47th)"|"SPECIAL ACHIEVEMENT AWARD (Visual Effects)"|"Earthquake  -- Frank Brendel, Glen Robinson, Albert Whitlock"
"1974 (47th)"|"JEAN HERSHOLT HUMANITARIAN AWARD"|"Arthur B. Krim"
"1974 (47th)"|"HONORARY AWARD"|"To Howard Hawks - A master American filmmaker whose creative efforts hold a distinguished place in world cinema."
"1974 (47th)"|"HONORARY AWARD"|"To Jean Renoir - a genius who, with grace, responsibility and enviable devotion through silent film, sound film, feature, documentary and television, has won the world's admiration."
"1974 (47th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To JOSEPH D. KELLY of Glen Glenn Sound for the design of new audio control consoles which have advanced the state of the art of sound recording and rerecording for motion picture production. [Sound]"
"1974 (47th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To THE BURBANK STUDIOS SOUND DEPARTMENT for the design of new audio control consoles engineered and constructed by the Quad-Eight Sound Corporation. [Sound]"
"1974 (47th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To SAMUEL GOLDWYN STUDIOS SOUND DEPARTMENT for the design of a new audio control console engineered and constructed by the Quad-Eight Sound Corporation. [Sound]"
"1974 (47th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To QUAD-EIGHT SOUND CORPORATION for the engineering and construction of new audio control consoles designed by The Burbank Studios Sound Department and by the Samuel Goldwyn Studios Sound Department. [Sound]"
"1974 (47th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To WALDON O. WATSON, RICHARD J. STUMPF, ROBERT J. LEONARD and the UNIVERSAL CITY STUDIOS SOUND DEPARTMENT for the development and engineering of the Sensurround System for motion picture presentation. [Sound]"
"1974 (47th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To THE ELEMACK COMPANY, ROME, ITALY, for the design and development of their Spyder camera dolly. [Camera Cranes]"
"1974 (47th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To LOUIS AMI of Universal City Studios for the design and construction of a reciprocating camera platform used when photographing special visual effects for motion pictures. [Stage Operations]"
"1975 (48th)"|"ACTOR"|"Jack Nicholson -- One Flew over the Cuckoo's Nest  {\"Randle Patrick McMurphy\"}"
"1975 (48th)"|"ACTOR IN A SUPPORTING ROLE"|"George Burns -- The Sunshine Boys  {\"Al Lewis\"}"
"1975 (48th)"|"ACTRESS"|"Louise Fletcher -- One Flew over the Cuckoo's Nest  {\"Nurse Mildred Ratched\"}"
"1975 (48th)"|"ACTRESS IN A SUPPORTING ROLE"|"Lee Grant -- Shampoo  {\"Felicia Karpf\"}"
"1975 (48th)"|"ART DIRECTION"|"Barry Lyndon  -- Art Direction: Ken Adam, Roy Walker; Set Decoration: Vernon Dixon"
"1975 (48th)"|"CINEMATOGRAPHY"|"Barry Lyndon  -- John Alcott"
"1975 (48th)"|"COSTUME DESIGN"|"Barry Lyndon  -- Ulla-Britt Soderlund, Milena Canonero"
"1975 (48th)"|"DIRECTING"|"One Flew over the Cuckoo's Nest  -- Milos Forman"
"1975 (48th)"|"DOCUMENTARY (Feature)"|"The Man Who Skied down Everest  -- F. R. Crawley, James Hager and Dale Hartleben, Producers"
"1975 (48th)"|"DOCUMENTARY (Short Subject)"|"The End of the Game  -- Claire Wilbur and Robin Lehman, Producers"
"1975 (48th)"|"FILM EDITING"|"Jaws  -- Verna Fields"
"1975 (48th)"|"FOREIGN LANGUAGE FILM"|"Dersu Uzala  -- Union of Soviet Socialist Republics"
"1975 (48th)"|"MUSIC (Original Score)"|"Jaws --  John Williams"
"1975 (48th)"|"MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation)"|"Barry Lyndon --  Adaptation Score by Leonard Rosenman"
"1975 (48th)"|"MUSIC (Original Song)"|"\"I'm Easy\" from Nashville  -- Music and Lyrics by Keith Carradine"
"1975 (48th)"|"BEST PICTURE"|"One Flew over the Cuckoo's Nest  -- Saul Zaentz and Michael Douglas, Producers"
"1975 (48th)"|"SHORT FILM (Animated)"|"Great --  Bob Godfrey, Producer"
"1975 (48th)"|"SHORT FILM (Live Action)"|"Angel and Big Joe --  Bert Salzman, Producer"
"1975 (48th)"|"SOUND"|"Jaws --  Robert L. Hoyt, Roger Heman, Earl Madery, John Carter"
"1975 (48th)"|"WRITING (Original Screenplay)"|"Dog Day Afternoon  -- Frank Pierson"
"1975 (48th)"|"WRITING (Screenplay Adapted from Other Material)"|"One Flew over the Cuckoo's Nest  -- Lawrence Hauben, Bo Goldman"
"1975 (48th)"|"SPECIAL ACHIEVEMENT AWARD (Sound Effects)"|"The Hindenburg  -- Peter Berkos"
"1975 (48th)"|"SPECIAL ACHIEVEMENT AWARD (Visual Effects)"|"The Hindenburg  -- Albert Whitlock, Glen Robinson"
"1975 (48th)"|"JEAN HERSHOLT HUMANITARIAN AWARD"|"Dr. Jules C. Stein"
"1975 (48th)"|"HONORARY AWARD"|"To Mary Pickford in recognition of her unique contributions to the film industry and the development of film as an artistic medium."
"1975 (48th)"|"IRVING G. THALBERG MEMORIAL AWARD"|"Mervyn LeRoy"
"1975 (48th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To CHADWELL O'CONNOR of the O'Connor Engineering Laboratories for the concept and engineering of a fluid-damped camera-head for motion picture photography. [Stage Operations]"
"1975 (48th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To WILLIAM F. MINER of Universal City Studios, Inc. and the WESTINGHOUSE ELECTRIC CORPORATION for the development and engineering of a solid-state, 500 kilowatt, direct-current static rectifier for motion picture lighting. [Lighting]"
"1975 (48th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To LAWRENCE W. BUTLER and ROGER BANKS for the concept of applying low inertia and stepping electric motors to film transport systems and optical printers for motion picture production. [Special Photographic]"
"1975 (48th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To DAVID J. DEGENKOLB and FRED SCOBEY of Deluxe General Incorporated and JOHN C. DOLAN and RICHARD DUBOIS of the Akwaklame Company for the development of a technique for silver recovery from photographic wash-waters by ion exchange. [Laboratory]"
"1975 (48th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To JOSEPH WESTHEIMER for the development of a device to obtain shadowed titles on motion picture films. [Special Photographic]"
"1975 (48th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To CARTER EQUIPMENT COMPANY, INC. and RAMTRONICS for the engineering and manufacture of a computerized tape punching system for programming laboratory printing machines. [Laboratory]"
"1975 (48th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To HOLLYWOOD FILM COMPANY for the engineering and manufacture of a computerized tape punching system for programming laboratory printing machines. [Laboratory]"
"1975 (48th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To BELL & HOWELL for the engineering and manufacture of a computerized tape punching system for programming laboratory printing machines. [Laboratory]"
"1975 (48th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To FREDRIK SCHLYTER for the engineering and manufacture of a computerized tape punching system for programming laboratory printing machines. [Laboratory]"
"1976 (49th)"|"ACTOR IN A LEADING ROLE"|"Peter Finch -- Network  {\"Howard Beale\"}"
"1976 (49th)"|"ACTOR IN A SUPPORTING ROLE"|"Jason Robards -- All the President's Men  {\"Ben Bradlee\"}"
"1976 (49th)"|"ACTRESS IN A LEADING ROLE"|"Faye Dunaway -- Network  {\"Diana Christensen\"}"
"1976 (49th)"|"ACTRESS IN A SUPPORTING ROLE"|"Beatrice Straight -- Network  {\"Louise Schumacher\"}"
"1976 (49th)"|"ART DIRECTION"|"All the President's Men  -- Art Direction: George Jenkins; Set Decoration: George Gaines"
"1976 (49th)"|"CINEMATOGRAPHY"|"Bound for Glory  -- Haskell Wexler"
"1976 (49th)"|"COSTUME DESIGN"|"Fellini's Casanova  -- Danilo Donati"
"1976 (49th)"|"DIRECTING"|"Rocky  -- John G. Avildsen"
"1976 (49th)"|"DOCUMENTARY (Feature)"|"Harlan County, U.S.A.  -- Barbara Kopple, Producer"
"1976 (49th)"|"DOCUMENTARY (Short Subject)"|"Number Our Days  -- Lynne Littman, Producer"
"1976 (49th)"|"FILM EDITING"|"Rocky  -- Richard Halsey, Scott Conrad"
"1976 (49th)"|"FOREIGN LANGUAGE FILM"|"Black and White in Color  -- Ivory Coast"
"1976 (49th)"|"MUSIC (Original Score)"|"The Omen --  Jerry Goldsmith"
"1976 (49th)"|"MUSIC (Original Song Score and Its Adaptation or Adaptation Score)"|"Bound for Glory --  Adaptation Score by Leonard Rosenman"
"1976 (49th)"|"MUSIC (Original Song)"|"\"Evergreen (Love Theme From A Star Is Born)\" from A Star Is Born  -- Music by Barbra Streisand; Lyrics by Paul Williams"
"1976 (49th)"|"BEST PICTURE"|"Rocky  -- Irwin Winkler and Robert Chartoff, Producers"
"1976 (49th)"|"SHORT FILM (Animated)"|"Leisure --  Suzanne Baker, Producer"
"1976 (49th)"|"SHORT FILM (Live Action)"|"In the Region of Ice --  Andre Guttfreund and Peter Werner, Producers"
"1976 (49th)"|"SOUND"|"All the President's Men --  Arthur Piantadosi, Les Fresholtz, Dick Alexander, Jim Webb"
"1976 (49th)"|"WRITING (Screenplay--based on material from another medium)"|"All the President's Men  -- William Goldman"
"1976 (49th)"|"WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced)"|"Network  -- Paddy Chayefsky"
"1976 (49th)"|"SPECIAL ACHIEVEMENT AWARD (Visual Effects)"|"King Kong  -- Carlo Rambaldi, Glen Robinson, Frank Van der Veer"
"1976 (49th)"|"SPECIAL ACHIEVEMENT AWARD (Visual Effects)"|"Logan's Run  -- L. B. Abbott, Glen Robinson, Matthew Yuricich"
"1976 (49th)"|"IRVING G. THALBERG MEMORIAL AWARD"|"Pandro S. Berman"
"1976 (49th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To CONSOLIDATED FILM INDUSTRIES and the BARNEBEY-CHENEY COMPANY for the development of a system for the recovery of film-cleaning solvent vapors in a motion picture laboratory. [Laboratory]"
"1976 (49th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To WILLIAM L. GRAHAM, MANFRED G. MICHELSON, GEOFFREY F. NORMAN and SIEGFRIED SEIBERT of Technicolor for the development and engineering of a Continuous, High-Speed, Color Motion Picture Printing System. [Laboratory]"
"1976 (49th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To FRED BARTSCHER of Kollmorgen Corporation and to GLENN BERGGREN of the Schneider Corporation for the design and development of a single-lens magnifier for motion picture projection lenses. [Lenses and Filters]"
"1976 (49th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To PANAVISION INCORPORATED for the design and development of super-speed lenses for motion picture photography. [Lenses and Filters]"
"1976 (49th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To HIROSHI SUZUKAWA of Canon and WILTON R. HOLM of AMPTP Motion Picture and Television Research Center for the design and development of super-speed lenses for motion picture photography. [Lenses and Filters]"
"1976 (49th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To CARL ZEISS COMPANY for the design and development of super-speed lenses for motion picture photography. [Lenses and Filters]"
"1976 (49th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To PHOTO RESEARCH DIVISION OF THE KOLLMORGEN CORPORATION for the engineering and manufacture of the Spectra TriColor Meter. [Photography]"
"1977 (50th)"|"ACTOR IN A LEADING ROLE"|"Richard Dreyfuss -- The Goodbye Girl  {\"Elliot Garfield\"}"
"1977 (50th)"|"ACTOR IN A SUPPORTING ROLE"|"Jason Robards -- Julia  {\"Dashiell Hammett\"}"
